CodigoBarras;Descricao;Marca;Departamento;Estoque;PrecoVenda;Status
7896673198280;BRINQUEDO GATO PEIXE DE POLIESTER C/GUIZO + ARGOLA 17X5CM;RINGO;PET;11,000;0;FAILED
6976245091704;BRINQUEDO RATO DE CORDA;TOYS;PET;11,000;0;PENDENTE
7891528000701;CHUVEIRINHO NYLON;JWS;PESCA;11,000;0;FAILED
7898967923837;DOCE OVO SURPRISE;AQUA TERRA;GERAL;11,000;0;FAILED
7893595996543;FORRO GAIOLA TNT N04;LM CONFECC;PASSAROS;11,000;0;FAILED
7891289075000;LINHA ARATY 0,30MM;MAZZAFERRO;PESCA;11,000;0;FAILED
7891289075215;LINHA ARATY 0,80MM;MAZZAFERRO;PESCA;11,000;0;FAILED
7899000220302;LINHA CAMU XT 0,40MM;OTTONI;PESCA;11,000;0;FAILED
7898335660753;LUCK DOG TITAN 18% CARNE 7KG;LUCK DOG;RACAO ;11,000;0;FAILED
7899675801660;LUZ QUIMICA VISIBILIDADE 50M;ALBATROZ;PESCA;11,000;0;FAILED
619205791967;MASCARA PART.TOX.PRO PFF1C;SAFETY PLUS;GERAL;11,000;0;FAILED
7898515870422;MIÇANGA DIVERSAS C/15UN;BOIAS BARÃO;PESCA;11,000;0;EXCLUDED
6976245092527;PA PENEIRA METAL/PLASTICO;DIVERSAS;PET;11,000;0;FAILED
7898341240062;PEDRA LATERITA N1 1KG;AQUA PEDRAS;AQUARISMO;11,000;0;FAILED
7898138930343;RATOEIRA GRANDE METALURGICA NINJA;METALURGICA;GERAL;11,000;0;FAILED
8800550801025;SUPORTE DE VARA CMIK;CMIK;PESCA;11,000;0;FAILED
7898952050050;TABACO AMSTERDAM NATURAL 25G;DIVERSAS;TABACARIA;11,000;0;EXCLUDED
27898019868134;TOP DOG 30KG CX 2 COMP.;OURO FINO;FARMACIA;11,000;0;FAILED
7898040522506;ARAME RECOZIDO METALGRAMPO 18;METALGRAMPO;FERRAMENTAS;10,000;0;EXCLUDED
7898416701375;BIOTHON CAES CARTELA;BIOFARMA;FARMACIA;10,000;0;FAILED
7898242036092;BISCOITO ADULTO ORIGINAL AVEIA E MEL 500G;SPECIAL DOG;PET;10,000;0;FAILED
7898924125892;BRINQUEDO BABY DIVERSOS;DIVERSAS;PET;10,000;0;FAILED
7895153997801;CABRESTO PANINHO VERDE FINO 1M;JR ESPORTE E PESCA;PESCA;10,000;0;FAILED
7898229167290;COMEDOURO CAO N4;PRODUTOS HOLANDA;PET;10,000;0;FAILED
7896029021569;DREAMIES SALMAO 40G;MARS;PET;10,000;0;FAILED
7896544402119;GENCO TABLETE CLORO 3X1 200G;GENCO;PISCINA;10,000;0;FAILED
7891289097835;LINHA ARATY 0,70MM;MAZZAFERRO;PESCA;10,000;0;FAILED
7899000220296;LINHA CAMU XT 0,35MM;OTTONI;PESCA;10,000;0;FAILED
7899000220319;LINHA CAMU XT 0,45MM;OTTONI;PESCA;10,000;0;FAILED
7899000220326;LINHA CAMU XT 0,50MM;OTTONI;PESCA;10,000;0;FAILED
7899000220067;LINHA PLATINUM XT 0,40MM;OTTONI;PESCA;10,000;0;FAILED
7898480936192;LINHA SUPER RAIGLON SOFT VERDE 0,310MM;RAIGLON;PESCA;10,000;0;FAILED
7898659784845;NEXGARD SPECTRA 15,1 A 30KG;MERIAL;FARMACIA;10,000;0;FAILED
7898954970202;PALHA COCO P/ NINHO;ARENA PET;PASSAROS;10,000;0;FAILED
742832179485;PITEIRA BEM BOLADO GIRLS IN GREEN;BEM BOLADO;TABACARIA;10,000;0;FAILED
7897659608069;PULVERIZADOR DE PRESSAO 2 LTS;PLASDURAN PLASTICOS ;GERAL;10,000;0;FAILED
7898515875762;STOP DE LINHA P/CHUMBADA E BOIA N3;BOIAS BARÃO;PESCA;10,000;0;FAILED
7895153997757;STOP REGULADOR DE CHUMBO N 05;JR ESPORTE E PESCA;PESCA;10,000;0;FAILED
7898480923932;ANZOL 12147 N 6/0;MARINE SPORTS;PESCA;9,000;0;FAILED
7897047210263;ARAME GALVANIZADO FIO 20;MORLAN;FERRAMENTAS;9,000;0;EXCLUDED
7898494930506;BEBEDOURO CAO 500ML;LONDRINA;PET;9,000;0;FAILED
7895153997795;CABRESTO PANINHO LARANJA FINO 1M;JR ESPORTE E PESCA;PESCA;9,000;0;FAILED
7896112132257;CEFALEXINA 500MG C/10 CP;DIVERSAS;FARMACIA;9,000;0;FAILED
7896029028636;DREAMIES QUEIJO 40G;MARS;PET;9,000;0;FAILED
7898515876127;ENGATE RAPIDO 15LBX15CM C/ 5UN;BOIAS BARÃO;PESCA;9,000;0;FAILED
7898994698838;FITILHO F10/900G;DIVERSAS;GERAL;9,000;0;EXCLUDED
7898952624015;FORRO TNT N01;TNT;PASSAROS;9,000;0;FAILED
7898952624077;FORRO TNT N07;TNT;PASSAROS;9,000;0;FAILED
42127836542535990;FORTMAX 6MG CAIXA;FORTMAX;FARMACIA;9,000;0;FAILED
7897348202431;GOLDEN CAES AD SPECIAL FRANGO E CARNE 15KG;PREMIER;RACAO ;9,000;0;EXCLUDED
7891289075017;LINHA ARATY 0,35MM;MAZZAFERRO;PESCA;9,000;0;FAILED
7899000220074;LINHA PLATINUM XT 0,45MM;OTTONI;PESCA;9,000;0;FAILED
7898335660128;LUCK CAT MIX 10KG;LUCK DOG;RACAO ;9,000;0;FAILED
7898335660135;LUCK CAT MIX 20KG;LUCK DOG;RACAO ;9,000;0;EXCLUDED
7898335660326;LUCK DOG ORIGINAL 22% 20KG;LUCK DOG;RACAO ;9,000;0;EXCLUDED
7899675813007;LUZ QUIMICA VISIBILIDADE 25M;ALBATROZ;PESCA;9,000;0;FAILED
6976245094897;PA COLHER ESPREMEDOURA;PET NINHO;PET;9,000;0;FAILED
7898341245234;PEDRA CASCALHO DE RIO N 3 25 KG;AQUA PEDRAS;AQUARISMO;9,000;0;EXCLUDED
7896009765421;PILHA AMARELA RAYOVAC PALITO AAA;RAYOVAC;GERAL;9,000;0;FAILED
7898242035002;SPECIAL DOG VEGETAIS PRO ADULTO 15KG;SPECIAL DOG;RACAO ;9,000;0;EXCLUDED
7895153997733;STOP REGULADOR DE CHUMBO N 04;JR ESPORTE E PESCA;PESCA;9,000;0;FAILED
7896803010123;SUPRA COELHO AGRO 5KG;SUPRA;INSUMO;9,000;0;EXCLUDED
7898480920894;ANZOL 1971N N 14;MARINE SPORTS;PESCA;8,000;0;FAILED
7898494930421;BEBEDOURO BEIJA FLOR ESPECIAL C/ BANDEJA;PET FISH;PASSAROS;8,000;0;FAILED
7898974894618;BRINQUEDO P/ GATO BOLA C/ GUIZO + PENAS 24CM;BUPPY ;PET;8,000;0;FAILED
7898674185511;COMEDOURO CODORNA 750ML;SUPER PET ;AVES;8,000;0;FAILED
7898019864040;LEPECID AEROSSOL 475 ML;OURO FINO;FARMACIA;8,000;0;FAILED
7891289075031;LINHA ARATY 0,45MM;MAZZAFERRO;PESCA;8,000;0;FAILED
7891289075048;LINHA ARATY 0,50MM;MAZZAFERRO;PESCA;8,000;0;FAILED
7891289075192;LINHA ARATY 0,60MM;MAZZAFERRO;PESCA;8,000;0;FAILED
7899000220029;LINHA PLATINUM XT 0,20MM;OTTONI;PESCA;8,000;0;FAILED
7899000220043;LINHA PLATINUM XT 0,30MM;OTTONI;PESCA;8,000;0;FAILED
7898053774251;NEXGARD 2 A 4KG;MERIAL;FARMACIA;8,000;0;FAILED
7897936917341;PORTA VITAMINA CRISTAL C/ PRESILHA MEDIO 45ML;MR PET;PASSAROS;8,000;0;EXCLUDED
7898242035200;SPECIAL DOG CARNE PLUS 15KG;SPECIAL DOG;RACAO ;8,000;0;EXCLUDED
7898121840147;TALFON TOP 100G;INDUBRAS;FARMACIA;8,000;0;FAILED
7898229165302;TIGELA PASSARO N3;PRODUTOS HOLANDA;PASSAROS;8,000;0;FAILED
7899812236829;VASSOURA GRAMA PLASTICA TRAPP;TRAPP;GERAL;8,000;0;FAILED
7898480920979;ANZOL 1971N N 8/0;MARINE SPORTS;PESCA;7,000;0;FAILED
7897047210249;ARAME GALVANIZADO FIO 16;MORLAN;FERRAMENTAS;7,000;0;EXCLUDED
7898242036108;BISCOITO ADULTO BANANA E CHIA 250G;SPECIAL DOG;PET;7,000;0;FAILED
7898242036122;BISCOITO FILHOTE FRUTAS VERMELHAS 250G;SPECIAL DOG;PET;7,000;0;FAILED
7898242036115;BISCOITOS ADULTO FRUTAS VERMELHAS 250G;SPECIAL DOG;PET;7,000;0;FAILED
7898515870569;BOIA LAMBARI N6;BOIAS BARÃO;PESCA;7,000;0;FAILED
7898515876103;ENGATE RAPIDO 10LBX12CM C/ 5UN;BOIAS BARÃO;PESCA;7,000;0;FAILED
7898053772905;FRONTLINE PLUS GATOS 0,5 ML;MERIAL;FARMACIA;7,000;0;FAILED
7897414100197;FUMO DESFIADO JURITI 30G;JURITI;TABACARIA;7,000;0;FAILED
7896544402690;GENCO SULFATO DE ALUMINIO 2KG;GENCO;PISCINA;7,000;0;FAILED
7891289074997;LINHA ARATY 0,25MM;MAZZAFERRO;PESCA;7,000;0;FAILED
7898090991000;LINHA DE PEDREIRO 100M;POLIFIO;FERRAMENTAS;7,000;0;EXCLUDED
7898480936253;LINHA SUPER RAIGLON SOFT VERDE 0.520MM;RAIGLON;PESCA;7,000;0;FAILED
7898335660173;LUCK DOG MIX 21% 20KG;LUCK DOG;RACAO ;7,000;0;EXCLUDED
7896098802601;LUVA LATEX NITRILICO AF-15 TAM 8;MUCAMBO;GERAL;7,000;0;FAILED
7899675801653;LUZ QUIMICA VISIBILIDADE 35M;ALBATROZ;PESCA;7,000;0;FAILED
7898053596846;MELOXINEW COMP. 1MG;VETNIL;FARMACIA;7,000;0;FAILED
7894442295499;PALHA PARA NINHO 0,2MG;TARIN;PASSAROS;7,000;0;FAILED
7898341245203;PEDRA CASCALHO DE RIO N 0 25 KG;AQUA PEDRAS;AQUARISMO;7,000;0;EXCLUDED
7898341242110;PEDRA CRISTAL Nº1 1KG;AQUA PEDRAS;AQUARISMO;7,000;0;FAILED
7891117003144;PODAO PARA CACAU E COCO SEM CABO;TRAMONTINA;FERRAMENTAS;7,000;0;EXCLUDED
7891265403315;SERRA STARRET 12X24 BIMETALICA;SYNTEC;FERRAMENTAS;7,000;0;EXCLUDED
7898515872747;SUPORTE FIXO PQ;BOIAS BARÃO;PESCA;7,000;0;FAILED
7896803030015;SUPRA CODORNA POSTURA 5KG;SUPRA;INSUMO;7,000;0;EXCLUDED
7896803017955;SUPRA IMPULSO 5KG;SUPRA;INSUMO;7,000;0;EXCLUDED
7896803010109;SUPRA POEDEIRA AGRO 5KG;SUPRA;INSUMO;7,000;0;EXCLUDED
7898011974792;ABRACADEIRA DE NYLON 4,8MM X 300MM;THOMPSON;GERAL;6,000;0;FAILED
7898505876700;ANTENINHA BARAO TAMBA ANZOL EVA 9MM;BOIAS BARÃO;PESCA;6,000;0;FAILED
7898480921105;ANZOL 260H N 08;MARINE SPORTS;PESCA;6,000;0;FAILED
7898450362006;BASE BEBEDOURO FRANGO GARRAFA PET 18CM;ORNAMENTAL;AVES;6,000;0;FAILED
7898515872679;BOIA CHARUTAO 100G;BOIAS BARÃO;PESCA;6,000;0;FAILED
7898515870217;BOIA DE ARREMESSO 0,70G;BOIAS BARÃO;PESCA;6,000;0;FAILED
7894751112142;BRINQUEDO 14,99;GALLEGO;GERAL;6,000;0;FAILED
7894751112159;BRINQUEDO 19,99;GALLEGO;GERAL;6,000;0;FAILED
7894751112470;BRINQUEDO 24,99;GALLEGO;GERAL;6,000;0;FAILED
8058309090392;BRINQUEDO PARA GATO VARETA;BRAVO MASCOTAS;PET;6,000;0;FAILED
8058309090453;BRINQUEDO PARA GATO VARETA;BRAVO MASCOTAS;PET;6,000;0;FAILED
7898480923116;CABO DE ACO 30LB 10M;MARINE SPORTS;PESCA;6,000;0;FAILED
7898480923130;CABO DE ACO 50LB 10M;MARINE SPORTS;PESCA;6,000;0;FAILED
7898480923154;CABO DE ACO 75LB 10M;MARINE SPORTS;PESCA;6,000;0;FAILED
7895800304228;CHICLETE TRIDENT MENTA 8G;TRIDENT;GERAL;6,000;0;FAILED
7897348210085;COOKIE CAES PORTE PEQ. CARNE E VEGETAIS 350G;PREMIER;PET;6,000;0;FAILED
7898167271387;DESMAMADOR BEZERRO VERMELHO;DIVERSAS;FARMACIA;6,000;0;FAILED
7898089528026;DOBRADICA PORTEIRA N02 SAO ROMAO;SAO ROMAO;FERRAMENTAS;6,000;0;EXCLUDED
5420036960850;DRONTAL PLUS 35KG CX (2UN);ELANCO;FARMACIA;6,000;0;FAILED
7898515876134;ENGATE RAPIDO 20LBX10CM C/ 5UN;BOIAS BARÃO;PESCA;6,000;0;FAILED
7898515876141;ENGATE RAPIDO 20LBX15CM C/ 5 UN;BOIAS BARÃO;PESCA;6,000;0;FAILED
7898515876172;ENGATE RAPIDO 30LBX15CM C/ 5UN;BOIAS BARÃO;PESCA;6,000;0;FAILED
7898955323991;FIO ELETROPLASTICO TRADICIONAL 500M;IGECAST;FERRAMENTAS;6,000;0;EXCLUDED
97898969854149;FORMIPLUS GEL 10G;QUIMIAGRI;FARMACIA;6,000;0;FAILED
7896544403673;GENCO CLARIFICANTE 1L;GENCO;PISCINA;6,000;0;FAILED
7896544403758;GENCO PH CERTO ESTABILIZANTE 2KG;GENCO;PISCINA;6,000;0;FAILED
7896544401686;GENCO REAGENTE PH CONCENTRADO 23ML;GENCO;PISCINA;6,000;0;FAILED
7897348205319;GOLDEN CAES AD CARNE MINI BITS 15KG;PREMIER;RACAO ;6,000;0;EXCLUDED
7899192207631;GRAMPO DE CERCA BELGO 1KG;BELGO;FERRAMENTAS;6,000;0;EXCLUDED
78938816;HALLS EXTRA FORTE 27,5;HALLS;GERAL;6,000;0;FAILED
8800550822068;ISCA CENTOPEIA SOFT;CMIK;PESCA;6,000;0;FAILED
7891289075024;LINHA ARATY 0,40MM;MAZZAFERRO;PESCA;6,000;0;FAILED
7899000220289;LINHA CAMU XT 0,30MM;OTTONI;PESCA;6,000;0;FAILED
7899000220036;LINHA PLATINUM XT 0,25MM;OTTONI;PESCA;6,000;0;FAILED
7898335660340;LUCK CAT CASTRADO FRANGO 10KG;LUCK DOG;RACAO ;6,000;0;FAILED
7898659784814;NEXGARD SPECTRA 2 A 3,5KG;MERIAL;FARMACIA;6,000;0;FAILED
7898043434639;NGF 5 GEL100G;CEVA;FARMACIA;6,000;0;FAILED
7908396712787;NINHO CARPETE VERTICAL;JEL PLAST;PASSAROS;6,000;0;FAILED
7898029931626;OSSO DEFUMADO BIG FEMUR BOVINO;PITAKA;PET;6,000;0;FAILED
7897414101224;PALHEIRO PANTANEIRO MENTA;PANTANEIRO;TABACARIA;6,000;0;FAILED
7898341241601;PEDRA LAGINHA N°0 1KG;AQUA PEDRAS;AQUARISMO;6,000;0;FAILED
7898598870074;POYTARA KINGUIO DIA A DIA 35G;POYTARA;AQUARISMO;6,000;0;FAILED
1400009100001;PROTETOR DE CIGARRO;DIVERSAS;TABACARIA;6,000;0;EXCLUDED
7898947680286;REDE ELASTICA BAGAGEIRO 35X35   UN.;TAMBASA;FERRAMENTAS;6,000;0;EXCLUDED
7898639831439;SERINGA P/ PASSAROS HAPPYBIRD G 30ML;HAPPY BIRD;PASSAROS;6,000;0;FAILED
7898242034289;SPECIAL DOG RP ULTRALIFE 20KG;SPECIAL DOG;RACAO ;6,000;0;EXCLUDED
886661019816;TUBO DE GRAXA STIHL 80G;STIHL;FERRAMENTAS;6,000;0;EXCLUDED
7896185951250;VACINA BOVILIS BRUCELOSE RB-51 50 ML (25DS) LOTE 015/24 VENC. 30/06/2026;MSD;FARMACIA;6,000;0;FAILED
7899880627895;VARA TEL. VT-100 3006 BAMBU;VOXXI ;PESCA;6,000;0;FAILED
7898292933532;TELA CIRANDA FEIJAO 1MX12,5M;DIVERSAS;GERAL;5,500;0;FAILED
7898480920825;ANZOL 1971N N 01;MARINE SPORTS;PESCA;5,000;0;FAILED
7898480920856;ANZOL 1971N N 06;MARINE SPORTS;PESCA;5,000;0;FAILED
7898480920863;ANZOL 1971N N 08;MARINE SPORTS;PESCA;5,000;0;FAILED
7898480924076;ANZOL 4330 N 02;MARINE SPORTS;PESCA;5,000;0;FAILED
7898480924700;ANZOL MARUSEIGO N 14;MARINE SPORTS;PESCA;5,000;0;FAILED
7898480921754;ANZOL WIDE GAP N 04;MARINE SPORTS;PESCA;5,000;0;FAILED
7897047210256;ARAME GALVANIZADO FIO 18;MORLAN;FERRAMENTAS;5,000;0;EXCLUDED
7898515870514;BOIA LAMBARI N1;BOIAS BARÃO;PESCA;5,000;0;FAILED
7898515870446;BOIA PARA LUZ QUIMICA REF.N44;BOIAS BARÃO;PESCA;5,000;0;FAILED
7894751147748;BRINQUEDO 17,99;GALLEGO;GERAL;5,000;0;FAILED
7908762703524;BRINQUEDO CARRINHO DE PVC C/SOM 8,5X5X4,5CM;GIFTUTIL;PET;5,000;0;FAILED
8058309090422;BRINQUEDO PARA GATO VARETA;BRAVO MASCOTAS;PET;5,000;0;FAILED
8058309090408;BRINQUEDO PARA GATO VARETA;BRAVO MASCOTAS;PET;5,000;0;FAILED
7899984606413;BRINQUEDO TRIANGULO DE BORRACHA MACICO COLORS 7X7CM;BANANA TOYS;PET;5,000;0;FAILED
7898480923093;CABO DE ACO 10LB 10M;MARINE SPORTS;PESCA;5,000;0;FAILED
7898480923109;CABO DE ACO 20LB 10M;MARINE SPORTS;PESCA;5,000;0;FAILED
7898996154431;CABO DE ENXADA/ENXADAO 1,2M;FORTE CABO;FERRAMENTAS;5,000;0;EXCLUDED
7891065000141;CADEADO PADO 20MM;PADO;GERAL;5,000;0;FAILED
7898904869815;COLA INSTANTANEA TEK BOND 20G;SAINT GOBAIN;GERAL;5,000;0;FAILED
7898593580923;COMEDOURO AVES TUBULAR 20KG;DIVERSAS;AVES;5,000;0;EXCLUDED
5420036915263;DRONTAL GATOS 4KG CX (4UN);ELANCO;FARMACIA;5,000;0;FAILED
7898110100818;EIXO SARLO INOX 250\500\650;SARLOBETTER;AQUARISMO;5,000;0;FAILED
7898515874864;ENCASTROADOR AÇO INOX 16X15 C/5 UN;BOIAS BARÃO;PESCA;5,000;0;FAILED
7898515874833;ENCASTROADOR AÇO INOX 18X12 C/5 UN;BOIAS BARÃO;PESCA;5,000;0;FAILED
7898515876318;ENGATE RAPIDO 100LBX30CM C/ 5UN;BOIAS BARÃO;PESCA;5,000;0;FAILED
7898515876165;ENGATE RAPIDO 30LBX10CM C/ 5UN;BOIAS BARÃO;PESCA;5,000;0;FAILED
7898653870209;ESTICADOR DE ARAME FARPADO (ARGOLA);GERAL;FERRAMENTAS;5,000;0;EXCLUDED
7898955323984;FIO ELETROPLASTICO TRADICIONAL 250M;IGECAST;FERRAMENTAS;5,000;0;EXCLUDED
7898322711871;FORCADO RETO PESADO S/ CABO 1/2;CADIOLI;FERRAMENTAS;5,000;0;EXCLUDED
7893595996536;FORRO GAIOLA TNT N03;LM CONFECC;PASSAROS;5,000;0;FAILED
7898901045373;GARFO DESOPERCULADOR P/APICULTOR;ZATTI;GERAL;5,000;0;FAILED
7908137912889;GIRADOR BRS BLACKNICKEL N1/0;MARINE SPORTS;PESCA;5,000;0;FAILED
4713291448616;GIRADOR GOLD N20;MARURI;PESCA;5,000;0;FAILED
7897348200703;GOLDEN CAES AD FRANGO 15KG;PREMIER;RACAO ;5,000;0;EXCLUDED
7899000220333;LINHA CAMU XT 0,60MM;OTTONI;PESCA;5,000;0;FAILED
7898480936222;LINHA SUPER RAIGLON SOFT VERDE 0.405MM;RAIGLON;PESCA;5,000;0;FAILED
7898341240055;PEDRA LATERITA N0 1KG;AQUA PEDRAS;AQUARISMO;5,000;0;FAILED
7898100550173;PENEIRA CAFE ARO 70;SAO JORGE;GERAL;5,000;0;FAILED
7898100550142;PENEIRA CAFE/CHAP55;SAO JORGE;GERAL;5,000;0;FAILED
7891117011279;PICARETA PONTA E PA;TRAMONTINA;FERRAMENTAS;5,000;0;EXCLUDED
7899880602151;PORTA EMPATE C/ 5 DIV. CAMUFLADO;GRUPO JOGÁ ;PESCA;5,000;0;FAILED
7897348203933;PREMIER SHIH TZU ADULTO 1,0KG;PREMIER;RACAO ;5,000;0;FAILED
7896181212089;ROYAL CANIN MINI ADULTO 1KG;ROYAL CANIN;RACAO ;5,000;0;FAILED
7898242032025;SPECIAL CAT PEIXE 20KG;SPECIAL DOG;RACAO ;5,000;0;EXCLUDED
7898242031561;SPECIAL DOG JUNIOR CARNE 20KG;SPECIAL DOG;RACAO ;5,000;0;EXCLUDED
7898242031882;SPECIAL DOG RP ULTRALIFE SENIOR 15KG;SPECIAL DOG;RACAO ;5,000;0;EXCLUDED
7895153997740;STOP REGULADOR DE CHUMBO N 07;JR ESPORTE E PESCA;PESCA;5,000;0;FAILED
7898515872693;SUPORTE  DOBRAVEL PQ;BOIAS BARÃO;PESCA;5,000;0;FAILED
7896803019577;SUPRASAL BRC40 MINERAL 25KG;SUPRA;INSUMO;5,000;0;EXCLUDED
8800550811109;VARA CMIK 1,30M 8-20 LBS REF.81110;CMIK;PESCA;5,000;0;FAILED
7896780810099;XISDOG DELICIOSSO BABY LEITE 100G;XISDOG;PET;5,000;0;FAILED
7898011974709;ABRACADEIRA DE NYLON 4,8MM X 300MM;THOMPSON;GERAL;4,000;0;FAILED
