ID,Tipo,SKU,"GTIN, UPC, EAN, ou ISBN",Nome,Publicado,Em destaque?,Visibilidade no catálogo,Descrição curta,Descrição,Data de preço promocional começa em,Data de preço promocional termina em,Status do imposto,Classe de imposto,Em estoque?,Estoque,Quantidade baixa de estoque,São permitidas encomendas?,Vendido individualmente?,Peso (kg),Comprimento (cm),Largura (cm),Altura (cm),Permitir avaliações de clientes?,Observação de compra,Preço promocional,Preço,Categorias,Tags,Classe de entrega,Imagens,Limite de downloads,Dias para expirar o download,Ascendente,Grupo de produtos,Upsells,Venda cruzada,URL externa,Texto do botão,Posição,Marcas,Nome do atributo 1,Valores do atributo 1,Visibilidade do atributo 1,Atributo global 1
52804,simple,7896183302122,,Abrilhantador Sanol 500Ml,1,0,visible,Abrilhantador Sanol 500Ml | Marca: Sanol | Categoria: Pet | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Abrilhantador Sanol 500Ml</h2>\n<p>Produto <strong>Sanol</strong> da linha Pet. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.500 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Sanol</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.500 Kg (1x 0.500 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Pet</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,0.5,,,,1,,,"25,00",Pet,"Pet, Sanol",,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/7896183302122-1.jpg,,,,,,,,,0,Sanol,Marca,Sanol,1.0,1.0
52823,simple,7898955236574,,Alfafa Prensada 500G - Paiol Do Bicho,1,0,visible,Alfafa Prensada 500G - Paiol Do Bicho | Marca: Paiol Do Bicho | Categoria: Pet | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Alfafa Prensada 500G - Paiol Do Bicho</h2>\n<p>Produto <strong>Paiol Do Bicho</strong> da linha Pet. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.500 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Paiol Do Bicho</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.500 Kg (1x 0.500 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Pet</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,0.5,,,,1,,,"18,00",Pet,"Paiol Do Bicho, Pet",,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/7898955236574.jpg,,,,,,,,,0,Paiol Do Bicho,Marca,Paiol Do Bicho,1.0,1.0
52979,simple,7898274860030,,Areia Care Cat Perfumada 4Kg,1,0,visible,Areia Care Cat Perfumada 4Kg | Marca: Care Cat | Categoria: Pet | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Areia Care Cat Perfumada 4Kg</h2>\n<p>Produto <strong>Care Cat</strong> da linha Pet. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>4.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Care Cat</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 4.000 Kg (1x 4.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Pet</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,3,,0,0,4.0,,,,1,,,"18,00",Pet,"Care Cat, Pet",,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/7898274860030-1.jpg,,,,,,,,,0,Care Cat,Marca,Care Cat,1.0,1.0
53099,simple,5156,,Bifinho Long Care 250G,1,0,visible,Bifinho Long Care 250G | Marca: Long Care | Categoria: Pet | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Bifinho Long Care 250G</h2>\n<p>Produto <strong>Long Care</strong> da linha Pet. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.250 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Long Care</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.250 Kg (1x 0.250 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Pet</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,6,,0,0,0.25,,,,1,,,"25,00",Pet,"Long Care, Pet",,,,,,,,,,,0,Long Care,Marca,Long Care,1.0,1.0
53112,simple,7898242036108,,Biscoito Adulto Banana E Chia 250G - Special Dog,1,0,visible,Biscoito Adulto Banana E Chia 250G - Special Dog | Marca: Special Dog | Categoria: Pet | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Biscoito Adulto Banana E Chia 250G - Special Dog</h2>\n<p>Produto <strong>Special Dog</strong> da linha Pet. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.250 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Special Dog</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.250 Kg (1x 0.250 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Pet</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,7,,0,0,0.25,,,,1,,,"15,90",Pet,"Pet, Special Dog",,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/7898242036108-1.jpg,,,,,,,,,0,Special Dog,Marca,Special Dog,1.0,1.0
53115,simple,7898242036122,,Biscoito Filhote Frutas Vermelhas 250G - Special Dog,1,0,visible,Biscoito Filhote Frutas Vermelhas 250G - Special Dog | Marca: Special Dog | Categoria: Pet | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Biscoito Filhote Frutas Vermelhas 250G - Special Dog</h2>\n<p>Produto <strong>Special Dog</strong> da linha Pet. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.250 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Special Dog</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.250 Kg (1x 0.250 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Pet</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,7,,0,0,0.25,,,,1,,,"15,90",Pet,"Pet, Special Dog",,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/7898242036122-2.jpg,,,,,,,,,0,Special Dog,Marca,Special Dog,1.0,1.0
53117,simple,7898242036115,,Biscoitos Adulto Frutas Vermelhas 250G - Special Dog,1,0,visible,Biscoitos Adulto Frutas Vermelhas 250G - Special Dog | Marca: Special Dog | Categoria: Pet | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Biscoitos Adulto Frutas Vermelhas 250G - Special Dog</h2>\n<p>Produto <strong>Special Dog</strong> da linha Pet. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.250 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Special Dog</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.250 Kg (1x 0.250 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Pet</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,7,,0,0,0.25,,,,1,,,"15,90",Pet,"Pet, Special Dog",,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/7898242036115-1.jpg,,,,,,,,,0,Special Dog,Marca,Special Dog,1.0,1.0
53434,simple,3447,,Brinquedo Bola Macica G - Raimundo Pet,1,0,visible,Brinquedo Bola Macica G - Raimundo Pet | Marca: Raimundo Pet | Categoria: Pet | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Brinquedo Bola Macica G - Raimundo Pet</h2>\n<p>Produto <strong>Raimundo Pet</strong> da linha Pet. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Raimundo Pet</li>\n  <li>📦 <strong>Categoria:</strong> Pet</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,,,,,1,,,"29,90",Pet,"Pet, Raimundo Pet",,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/3447-2.jpg,,,,,,,,,0,Raimundo Pet,Marca,Raimundo Pet,1.0,1.0
53436,simple,2355,,Brinquedo Bola Macica M,1,0,visible,Brinquedo Bola Macica M | Categoria: Pet | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Brinquedo Bola Macica M</h2>\n<p>Produto de alta qualidade da categoria Pet. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>📦 <strong>Categoria:</strong> Pet</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,5,,0,0,,,,,1,,,"19,90",Pet,Pet,,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/2355-1.jpg,,,,,,,,,0,,,,,
53451,simple,2010000000977,,Brinquedo Corda Super Power - Raimundo Pet,1,0,visible,Brinquedo Corda Super Power - Raimundo Pet | Marca: Raimundo Pet | Categoria: Pet | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Brinquedo Corda Super Power - Raimundo Pet</h2>\n<p>Produto <strong>Raimundo Pet</strong> da linha Pet. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Raimundo Pet</li>\n  <li>📦 <strong>Categoria:</strong> Pet</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,,,,,1,,,"29,90",Pet,"Pet, Raimundo Pet",,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/2010000000977-2.jpg,,,,,,,,,0,Raimundo Pet,Marca,Raimundo Pet,1.0,1.0
